ID;Épica;Título;Rol;Historia;Criterios de aceptación;Requisitos;Objetivo;Prioridad;Puntos;Sprint;Dependencias;Notas técnicas
HU-11;E0 — Fundación del proyecto y habilitadoras técnicas;Reglas de seguridad iniciales de la base de datos;Equipo de desarrollo;Como equipo de desarrollo, necesitamos configurar las reglas de seguridad de Cloud Firestore, para impedir desde el primer incremento que cualquier persona lea o escriba datos que no le corresponden.;Dada una sesión no autenticada, cuando se intente escribir en cualquier colección, entonces la operación debe ser rechazada. | Dado un usuario autenticado, cuando intente modificar un documento que no le pertenece, entonces la operación debe ser rechazada. | Dada la colección de eventos, cuando se consulte sin autenticación, entonces solo deben ser legibles los documentos con estado aprobado.;RNF-05, RNF-08;Objetivo 2;Debe;3;Sprint 3;HU-05;Las reglas se amplían en cada sprint conforme se incorporan colecciones.
HU-12;E1 — Acceso y gestión de cuentas;Registro de actor cultural;Actor cultural;Como gestor cultural de Santa Marta, necesito crear una cuenta en la plataforma, para poder publicar mis experiencias culturales y ser visible para los visitantes.;Dado el formulario de registro, cuando ingrese un correo válido y una contraseña de al menos ocho caracteres, entonces la cuenta debe crearse y quedar asociada al rol de actor cultural. | Dado el formulario, cuando ingrese un correo ya registrado, entonces debe mostrarse un mensaje claro y no crearse una cuenta duplicada. | Dado el formulario, cuando algún campo obligatorio esté vacío, entonces el envío debe bloquearse indicando el campo faltante. | Dado un registro exitoso, cuando finalice, entonces debe iniciarse la sesión automáticamente y redirigirse al perfil.;RF-01;Objetivo 2;Debe;5;Sprint 4;HU-11;Firebase Authentication con proveedor de correo y contraseña.
HU-13;E1 — Acceso y gestión de cuentas;Inicio y cierre de sesión;Usuario registrado;Como usuario registrado, necesito iniciar y cerrar sesión, para acceder a mis funciones y proteger mi cuenta cuando uso un equipo compartido.;Dadas credenciales correctas, cuando inicie sesión, entonces debe accederse a la vista correspondiente a mi rol. | Dadas credenciales incorrectas, cuando intente iniciar sesión, entonces debe mostrarse un mensaje de error que no revele si el correo existe. | Dada una sesión activa, cuando cierre sesión, entonces debe perderse el acceso a las vistas privadas. | Dada una sesión activa, cuando recargue la página, entonces la sesión debe mantenerse.;RF-02;Objetivo 2;Debe;3;Sprint 4;HU-12;—
HU-14;E1 — Acceso y gestión de cuentas;Recuperación de contraseña;Usuario registrado;Como usuario registrado que olvidó su contraseña, necesito restablecerla desde mi correo, para recuperar el acceso sin depender del administrador.;Dado un correo registrado, cuando solicite el restablecimiento, entonces debe recibirse un mensaje con el enlace correspondiente. | Dado un correo no registrado, cuando se solicite, entonces la respuesta visible debe ser la misma para no revelar la existencia de la cuenta. | Dado el enlace recibido, cuando se defina una nueva contraseña válida, entonces debe poderse iniciar sesión con ella.;RF-02;Objetivo 2;Debería;2;Sprint 4;HU-13;Funcionalidad nativa de Firebase Authentication.
HU-15;E1 — Acceso y gestión de cuentas;Diferenciación de roles y permisos;Administrador;Como administrador, necesito que cada cuenta tenga un rol asociado que determine lo que puede hacer, para garantizar que solo quien corresponde publique, modere o consulte información sensible.;Dada una cuenta con rol de actor cultural, cuando intente acceder al panel de administración, entonces el acceso debe ser denegado. | Dada una cuenta con rol de administrador, cuando inicie sesión, entonces debe acceder al panel de moderación. | Dado un visitante sin cuenta, cuando navegue por la plataforma, entonces debe poder consultar el contenido aprobado sin registrarse. | Dado cualquier intento de acceso indebido, cuando se produzca, entonces debe ser rechazado también por las reglas de la base de datos y no solo por la interfaz.;RF-01, RNF-08;Objetivo 2;Debe;5;Sprint 4;HU-12, HU-11;El control debe existir en las dos capas: interfaz y reglas de seguridad.
HU-16;E1 — Acceso y gestión de cuentas;Consentimiento de tratamiento de datos personales;Usuario registrado;Como persona que entrega sus datos a la plataforma, necesito conocer y aceptar de forma expresa la política de tratamiento, para que el uso de mi información se ajuste a la ley colombiana.;Dado el formulario de registro, cuando se presente, entonces debe incluir un enlace visible a la política de tratamiento de datos. | Dado el formulario, cuando no se marque la casilla de aceptación, entonces el registro no debe completarse. | Dada una cuenta creada, cuando se consulte en la base de datos, entonces debe existir el registro de la aceptación con su fecha. | Dada una solicitud de supresión, cuando el usuario la presente, entonces debe existir un canal documentado para atenderla.;RNF-06;Objetivo 2;Debe;3;Sprint 4;HU-12;Cumplimiento de la Ley 1581 de 2012 y del Decreto 1377 de 2013.
HU-17;E1 — Acceso y gestión de cuentas;Gestión de categorías culturales;Administrador;Como administrador, necesito crear y editar el catálogo de categorías culturales, para que las publicaciones se clasifiquen de forma coherente y los filtros resulten útiles.;Dado el panel de administración, cuando cree una categoría, entonces debe quedar disponible de inmediato en los formularios de publicación. | Dada una categoría con publicaciones asociadas, cuando intente eliminarla, entonces el sistema debe advertirlo e impedir la pérdida de la clasificación. | Dado el listado de categorías, cuando se consulte, entonces debe mostrar el número de publicaciones asociadas a cada una.;RF-07, RF-14;Objetivo 2;Debe;3;Sprint 4;HU-15;—
HU-18;E2 — Perfiles de actores culturales y hubs;Creación y edición del perfil de actor cultural;Actor cultural;Como actor cultural, necesito describir quién soy y qué manifestación represento, para que los visitantes comprendan el valor de mi propuesta antes de contactarme.;Dado el formulario de perfil, cuando complete nombre, manifestación, descripción, categoría y datos de contacto, entonces el perfil debe guardarse y quedar asociado a mi cuenta. | Dado mi perfil guardado, cuando lo edite, entonces los cambios deben reflejarse en la vista pública sin requerir una nueva aprobación de la cuenta. | Dado el campo de descripción, cuando supere el límite establecido, entonces debe advertirse antes del envío. | Dado el perfil de otro actor, cuando intente editarlo, entonces la operación debe ser rechazada.;RF-03, RF-06;Objetivo 2;Debe;5;Sprint 5;HU-15;—
HU-19;E2 — Perfiles de actores culturales y hubs;Carga de imagen en el perfil;Actor cultural;Como actor cultural, necesito subir una imagen que represente mi trabajo, para que mi perfil resulte reconocible y atractivo en el catálogo.;Dado el formulario, cuando cargue una imagen en formato JPG o PNG de hasta dos megabytes, entonces debe almacenarse y mostrarse en el perfil. | Dado un archivo de formato o tamaño no permitido, cuando se intente cargar, entonces debe rechazarse con un mensaje explicativo. | Dado un perfil sin imagen, cuando se consulte, entonces debe mostrarse una imagen predeterminada.;RF-03;Objetivo 2;Debería;2;Sprint 5;HU-18;Firebase Storage con reglas de acceso por propietario.
HU-20;E2 — Perfiles de actores culturales y hubs;Perfil y directorio de hubs de innovación;Hub de innovación;Como responsable de un hub de innovación, necesito registrar el espacio y sus líneas de trabajo, para ser localizable por actores culturales y entidades interesadas en articularse.;Dado el formulario del hub, cuando complete nombre, descripción, líneas de trabajo, dirección y contacto, entonces el perfil debe guardarse. | Dado el directorio público, cuando se consulte, entonces deben listarse todos los hubs aprobados con su información básica. | Dado un hub con dirección registrada, cuando se guarde, entonces deben almacenarse sus coordenadas para su representación en el mapa.;RF-04, RF-09;Objetivo 2;Debe;3;Sprint 5;HU-15;—
HU-21;E3 — Publicación y moderación de contenido;Publicación de un evento o experiencia cultural;Actor cultural;Como actor cultural, necesito publicar mis eventos y experiencias con toda su información, para que los visitantes sepan qué ofrezco, cuándo y dónde.;Dado el formulario de publicación, cuando complete título, descripción, categoría, fecha, lugar e imagen, entonces la publicación debe guardarse con estado «pendiente de aprobación». | Dado el formulario, cuando la fecha de inicio sea posterior a la de finalización, entonces el envío debe bloquearse con un mensaje explicativo. | Dada una publicación guardada, cuando se consulte el catálogo público, entonces no debe aparecer hasta ser aprobada. | Dada una publicación creada, cuando se revise en la base de datos, entonces debe conservar el identificador del actor que la creó y la fecha de creación.;RF-05, RF-07;Objetivo 2;Debe;5;Sprint 5;HU-17, HU-18;—
HU-22;E3 — Publicación y moderación de contenido;Georreferenciación de la publicación;Actor cultural;Como actor cultural, necesito indicar el lugar exacto donde ocurre mi experiencia, para que el visitante pueda ubicarla en el mapa y llegar sin dificultad.;Dado el formulario de publicación, cuando seleccione un punto en el mapa, entonces deben capturarse y guardarse su latitud y longitud. | Dada una publicación sin coordenadas, cuando se intente guardar, entonces debe advertirse que no aparecerá en el mapa. | Dadas unas coordenadas guardadas, cuando se edite la publicación, entonces debe poder modificarse el punto seleccionado.;RF-08;Objetivo 2;Debe;3;Sprint 5;HU-21;Selector de punto basado en Leaflet sobre cartografía de OpenStreetMap.
HU-23;E3 — Publicación y moderación de contenido;Edición y eliminación de publicaciones propias;Actor cultural;Como actor cultural, necesito corregir o retirar mis publicaciones, para mantener actualizada la información que ven los visitantes.;Dada una publicación propia, cuando la edite, entonces los cambios deben guardarse y la publicación debe volver a estado «pendiente de aprobación». | Dada una publicación propia, cuando la elimine, entonces debe solicitarse confirmación antes de proceder. | Dada una publicación de otro actor, cuando intente editarla o eliminarla, entonces la operación debe ser rechazada tanto por la interfaz como por las reglas de seguridad.;RF-06;Objetivo 2;Debe;3;Sprint 5;HU-21;—
HU-24;E3 — Publicación y moderación de contenido;Moderación de publicaciones;Administrador;Como administrador, necesito revisar cada publicación antes de que sea visible, para garantizar que la información sea pertinente, respetuosa con las comunidades portadoras y esté completa.;Dado el panel de moderación, cuando se cargue, entonces deben listarse todas las publicaciones pendientes ordenadas por fecha de creación. | Dada una publicación pendiente, cuando la apruebe, entonces debe pasar a estado «aprobada» y hacerse visible en el catálogo y en el mapa. | Dada una publicación pendiente, cuando la devuelva, entonces debe exigirse una observación escrita y notificarse al actor cultural. | Dada cualquier decisión de moderación, cuando se registre, entonces debe quedar constancia del administrador, la decisión, la observación y la fecha.;RF-13;Objetivo 2;Debe;5;Sprint 5;HU-15, HU-21;Las decisiones se persisten en la colección de moderaciones.
HU-25;E4 — Descubrimiento y contacto;Exploración del catálogo público;Turista o visitante;Como visitante que planifica su estancia, necesito ver en un solo lugar toda la oferta cultural disponible, para descubrir opciones que no conocía.;Dado el catálogo, cuando se cargue, entonces deben listarse únicamente las publicaciones aprobadas. | Dado el listado, cuando se presente cada elemento, entonces debe mostrar imagen, título, categoría, fecha y lugar. | Dado un catálogo con más de doce elementos, cuando se recorra, entonces debe existir paginación o carga progresiva. | Dado un catálogo vacío tras aplicar criterios, cuando se muestre, entonces debe presentarse un mensaje orientador y no una pantalla en blanco.;RF-09;Objetivo 2;Debe;3;Sprint 6;HU-24;—
HU-26;E4 — Descubrimiento y contacto;Filtrado por categoría cultural y por fecha;Turista o visitante;Como visitante con pocos días en la ciudad, necesito filtrar la oferta por tipo de manifestación y por las fechas de mi estancia, para encontrar rápidamente lo que puedo hacer mientras estoy aquí.;Dado el catálogo, cuando aplique un filtro de categoría, entonces deben mostrarse únicamente las publicaciones de esa categoría. | Dado el catálogo, cuando aplique un rango de fechas, entonces deben mostrarse solo las publicaciones vigentes en ese rango. | Dados dos filtros aplicados simultáneamente, cuando se combinen, entonces el resultado debe satisfacer ambas condiciones. | Dados filtros aplicados, cuando los limpie, entonces debe restituirse el catálogo completo.;RF-10;Objetivo 2;Debe;5;Sprint 6;HU-25;Requiere índices compuestos en Firestore para la consulta por categoría y fecha.
HU-27;E4 — Descubrimiento y contacto;Búsqueda por palabra clave;Turista o visitante;Como visitante que ya sabe qué busca, necesito escribir una palabra y encontrar coincidencias, para no recorrer todo el catálogo.;Dado el campo de búsqueda, cuando escriba un término, entonces deben mostrarse las publicaciones cuyo título o descripción lo contengan. | Dada una búsqueda sin resultados, cuando se ejecute, entonces debe informarse con un mensaje y sugerirse limpiar los filtros. | Dada una búsqueda, cuando se escriba con o sin tildes y en mayúsculas o minúsculas, entonces el resultado debe ser equivalente.;RF-10;Objetivo 2;Debería;3;Sprint 6;HU-25;Búsqueda sobre el conjunto cargado en cliente, dado el alcance del prototipo.
HU-28;E4 — Descubrimiento y contacto;Consulta del detalle de una publicación;Turista o visitante;Como visitante interesado en una experiencia, necesito ver toda su información en una vista propia, para decidir si quiero participar.;Dado un elemento del catálogo, cuando lo seleccione, entonces debe abrirse su vista de detalle con descripción, fechas, lugar, categoría, imagen y actor responsable. | Dada la vista de detalle, cuando se cargue, entonces debe incluir un acceso al perfil del actor cultural. | Dada una publicación con coordenadas, cuando se consulte su detalle, entonces debe mostrarse su ubicación en un mapa reducido.;RF-09, RF-11;Objetivo 2;Debe;2;Sprint 6;HU-25;—
HU-29;E4 — Descubrimiento y contacto;Contacto directo con el actor cultural;Turista o visitante;Como visitante que quiere participar de una experiencia, necesito comunicarme directamente con quien la ofrece, para resolver mis dudas sin intermediarios.;Dada la vista de detalle, cuando seleccione la opción de contacto, entonces deben mostrarse los canales que el actor cultural haya autorizado. | Dado un canal de contacto, cuando lo seleccione, entonces debe abrirse la aplicación correspondiente con el mensaje inicial prellenado. | Dado un contacto realizado, cuando se produzca, entonces debe registrarse la interacción de forma anonimizada para los indicadores de uso.;RF-12, RF-15;Objetivo 2;Debe;3;Sprint 6;HU-28;"No se almacena información personal del visitante; solo el evento de interacción."
HU-30;E5 — Mapa interactivo;Mapa interactivo de la oferta cultural;Turista o visitante;Como visitante que se desplaza por la ciudad, necesito ver la oferta cultural situada sobre un mapa, para elegir según dónde me encuentro.;Dado el mapa, cuando se cargue, entonces debe mostrar un marcador por cada publicación aprobada con coordenadas registradas. | Dado un marcador, cuando lo seleccione, entonces debe desplegarse una ficha con el título, la categoría y el acceso al detalle. | Dado el mapa, cuando aplique un filtro de categoría, entonces deben mostrarse únicamente los marcadores correspondientes. | Dado el mapa, cuando se abra en un teléfono, entonces debe permitir desplazamiento y acercamiento táctil sin bloquear el desplazamiento de la página.;RF-11, RF-10;Objetivo 2;Debe;8;Sprint 6;HU-22, HU-26;"Leaflet como componente de React sobre teselas de OpenStreetMap; agrupación de marcadores si la densidad lo exige."
HU-31;E6 — Calidad, accesibilidad y medición;Validación de formularios y manejo de errores;Usuario registrado;Como usuario que introduce información, necesito que el sistema me indique con claridad qué está mal, para corregirlo sin perder lo que ya escribí.;Dado cualquier formulario, cuando un campo obligatorio esté vacío, entonces debe señalarse el campo específico y no mostrarse un error genérico. | Dado un formulario con error, cuando se muestre el mensaje, entonces la información ya ingresada debe conservarse. | Dado un fallo de conexión con el servicio de datos, cuando ocurra, entonces debe mostrarse un mensaje comprensible y no un error técnico. | Dado un envío en curso, cuando se procese, entonces el botón debe deshabilitarse para evitar envíos duplicados.;RNF-01;Objetivo 3;Debe;5;Sprint 7;HU-21;—
HU-32;E6 — Calidad, accesibilidad y medición;Accesibilidad conforme a las pautas WCAG 2.1;Usuario con discapacidad visual o motriz;Como persona que navega con lector de pantalla o solo con teclado, necesito poder usar la plataforma completa, para acceder a la oferta cultural en igualdad de condiciones.;Dada cualquier imagen de contenido, cuando se inspeccione, entonces debe contar con texto alternativo descriptivo. | Dada la navegación, cuando se recorra únicamente con teclado, entonces debe poderse completar el registro, la publicación y la consulta del catálogo. | Dado cualquier texto sobre su fondo, cuando se mida, entonces la relación de contraste no debe ser inferior a 4,5 a 1. | Dado un elemento con foco, cuando se navegue con teclado, entonces el foco debe ser visualmente identificable.;RNF-07;Objetivo 3;Debería;5;Sprint 7;HU-09;Referente: WCAG 2.1 nivel AA en los criterios aplicables al alcance.
HU-33;E6 — Calidad, accesibilidad y medición;Optimización final del diseño responsive;Turista o visitante;Como visitante que usa la plataforma desde el teléfono, necesito que todas las vistas —incluidos el mapa y el panel de administración— funcionen correctamente en pantalla pequeña.;Dadas todas las vistas del sistema, cuando se recorran en 360 píxeles de ancho, entonces ninguna debe presentar desbordamiento horizontal. | Dadas las tablas del panel de administración, cuando se visualicen en móvil, entonces deben adaptarse a un formato legible. | Dado el mapa, cuando se abra en móvil, entonces debe ocupar una altura útil que permita su manipulación.;RNF-03;Objetivo 3;Debe;3;Sprint 7;HU-30;—
HU-34;E6 — Calidad, accesibilidad y medición;Indicadores básicos de uso de la plataforma;Administrador;Como administrador, necesito conocer cuántas publicaciones existen por categoría y cuáles se consultan más, para orientar la gestión de la oferta cultural del destino.;Dado el panel de indicadores, cuando se cargue, entonces debe mostrar el total de publicaciones por estado y por categoría. | Dado el panel, cuando se consulte, entonces debe listar las publicaciones con mayor número de consultas. | Dados los registros de interacción, cuando se almacenen, entonces no deben contener datos personales identificables del visitante.;RF-15, RNF-06;Objetivo 3;Podría;5;Sprint 7;HU-29;Agregaciones calculadas sobre la colección de interacciones.
HU-35;E6 — Calidad, accesibilidad y medición;Ejecución de las pruebas funcionales y de permisos;Equipo de desarrollo;Como equipo de desarrollo, necesitamos ejecutar los casos de prueba derivados de los criterios de aceptación, para determinar objetivamente la cobertura funcional alcanzada.;Dado el conjunto de historias, cuando se diseñen los casos de prueba, entonces cada criterio de aceptación debe tener al menos un caso asociado. | Dada la ejecución de las pruebas, cuando concluya, entonces la cobertura de historias de prioridad «Debe» que superan todos sus casos no debe ser inferior al 90 %. | Dadas las pruebas de permisos, cuando se ejecuten con cada rol, entonces el 100 % de los accesos no autorizados debe ser rechazado. | Dado cualquier caso fallido, cuando se registre, entonces debe crearse el hallazgo correspondiente con su severidad.;"RNF-08; todos los RF";Objetivo 3;Debe;3;Sprint 7;HU-31;Resultados consolidados en la matriz de trazabilidad requisitos–pruebas.
HU-36;E6 — Calidad, accesibilidad y medición;Pruebas de usabilidad con usuarios representativos;Equipo de desarrollo;Como equipo de desarrollo, necesitamos evaluar la plataforma con usuarios reales de cada rol, para verificar que resulta utilizable por quienes no participaron en su construcción.;Dada la sesión de prueba, cuando se inicie, entonces debe obtenerse el consentimiento informado del participante. | Dado el conjunto de tareas guiadas, cuando se ejecuten sin asistencia, entonces debe registrarse si se completan, el tiempo empleado y las dificultades observadas. | Dado el cuestionario SUS, cuando se aplique a al menos ocho participantes, entonces el puntaje promedio debe ser igual o superior a 68. | Dado un puntaje inferior al umbral, cuando se obtenga, entonces los hallazgos deben incorporarse al backlog y repetirse la medición tras su corrección.;RNF-01;Objetivo 3;Debe;3;Sprint 7;HU-33;Instrumento: System Usability Scale (Brooke, 1996).
HU-37;E7 — Cierre, despliegue y documentación;Despliegue de la versión final del prototipo;Equipo de desarrollo;Como equipo de desarrollo, necesitamos publicar la versión final del prototipo en un entorno accesible, para que el jurado, el asesor y los actores culturales puedan verificarla.;Dada la versión final, cuando se despliegue, entonces debe existir una dirección pública estable y documentada. | Dado el prototipo desplegado, cuando se consulte desde un dispositivo externo, entonces debe cargar sin errores y con datos de demostración cargados. | Dada la versión desplegada, cuando se contraste con el repositorio, entonces debe corresponder a una etiqueta de versión identificada.;RNF-08;Objetivo 3;Debe;3;Sprint 8;HU-35, HU-36;—
HU-38;E7 — Cierre, despliegue y documentación;Manual de usuario;Actor cultural;Como actor cultural sin formación técnica, necesito una guía sencilla de uso, para registrarme y publicar sin necesidad de acompañamiento.;Dado el manual, cuando se elabore, entonces debe cubrir el registro, la creación del perfil, la publicación de un evento y la consulta del catálogo. | Dado cada procedimiento, cuando se describa, entonces debe acompañarse de capturas de pantalla numeradas. | Dado el manual, cuando se valide con un usuario ajeno al equipo, entonces este debe completar las tareas siguiéndolo sin ayuda adicional.;RNF-01;Objetivo 3;Debe;5;Sprint 8;HU-37;—
HU-39;E7 — Cierre, despliegue y documentación;Documentación técnica del prototipo;Equipo de desarrollo;Como equipo de desarrollo, necesitamos documentar la arquitectura, el modelo de datos y los procedimientos de despliegue, para que el proyecto pueda ser retomado o auditado por terceros.;Dada la documentación, cuando se elabore, entonces debe incluir el diagrama de arquitectura, la estructura de colecciones y las reglas de seguridad aplicadas. | Dada la documentación, cuando se revise, entonces debe describir el procedimiento completo para desplegar el proyecto desde cero. | Dado el repositorio, cuando se consulte, entonces debe contener el archivo de documentación actualizado a la versión final.;RNF-09;Objetivo 3;Debe;5;Sprint 8;HU-37;—
